id,name,catalog_type,catalog_label,quality,territory_id,territory_name,territory_role,claim_nairacoin,lat,lon,image,wikimedia_commons,mapillary,wikipedia
n_2455132992,AMC Citibank,bank,Bank,B,unclaimed,Unclaimed area,unclaimed,0,6.449876,7.478504,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A81629d08-c45e-4235-b576-c750823e8c6c%5D%2FPOI_Picture1,,,
n_2455132994,Academy Of Leadership & Enterprise,school,School,B,unclaimed,Unclaimed area,unclaimed,24,6.465779,7.50298,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Abf51212a-9c70-41a3-951a-12b6ea845842%5D%2FPOI_Picture1,,,
n_2455132995,Access Bank (ATM),atm,ATM,B,abakpa,Abakpa,playable_faction,0,6.481285,7.518541,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A043a46e2-450a-4d57-8ff6-60a9a77eb3de%5D%2FPOI_Picture1,,,
n_2455133695,Access Bank (ATM),atm,ATM,B,independence_layout,Independence Layout,playable_faction,0,6.435608,7.520797,,,,
w_1125508406,Access Bank ATM,atm,ATM,B,independence_layout,Independence Layout,playable_faction,0,6.4250899,7.5077304,,,,
n_2455132996,Access Bank,bank,Bank,B,unclaimed,Unclaimed area,unclaimed,0,6.453484,7.494248,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab3fc3a31-dc22-43b0-8712-f1ae5ad461a2%5D%2FPOI_Picture1,,,
n_2455133559,Access Bank,bank,Bank,B,independence_layout,Independence Layout,playable_faction,0,6.426813,7.504789,,,,
n_2455133722,Access Bank,bank,Bank,B,unclaimed,Unclaimed area,unclaimed,0,6.438323,7.484623,,,,
n_2460130808,Access Bank,bank,Bank,B,ogui,Ogui,unclaimed,0,6.4450935,7.4977628,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae7975571-7c4e-469f-aca7-fe6d93663644%5D%2FPOI_Picture1,,,
n_2455132997,Administrative Building,civic,Civic,B,unclaimed,Unclaimed area,unclaimed,36,6.458846,7.500277,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A8e1533b2-17d4-4962-bfed-168533460823%5D%2FPOI_Picture1,,,
n_2455132998,Agricultural Development Programme,civic,Civic,B,unclaimed,Unclaimed area,unclaimed,36,6.445004,7.490728,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Af9d609cb-78eb-4e58-b3b8-b62b2e146569%5D%2FPOI_Picture1,,,
n_2455133001,Alfa Medical Center,hospital,Hospital,B,unclaimed,Unclaimed area,unclaimed,24,6.464027,7.495643,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac9b08a9f-32d1-4f55-bdaf-58c2a0356efb%5D%2FPOI_Picture1,,,
n_2455133002,All Saints Ekulu Nursery & Primary School,school,School,B,unclaimed,Unclaimed area,unclaimed,24,6.45407,7.484622,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A401ecff7-f86f-4501-a765-1e01adc5408d%5D%2FPOI_Picture1,,,
n_2455133007,Bora Hotel,hotel,Hotel,B,unclaimed,Unclaimed area,unclaimed,36,6.453076,7.49051,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6826ced3-cc8d-4538-9a11-4b72a1bbc2dd%5D%2FPOI_Picture1,,,
n_2455133008,Bridge Waters,hotel,Hotel,B,unclaimed,Unclaimed area,unclaimed,36,6.451891,7.493207,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A1345a4b3-ea56-46f5-b0ad-8067909903ab%5D%2FPOI_Picture1,,,
n_2455133009,Carlton Crown Guest House,hotel,Hotel,B,abakpa,Abakpa,playable_faction,30,6.483247,7.520712,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Acb3efc43-ef26-4155-b5a9-d7a6c80bef4c%5D%2FPOI_Picture1,,,
n_2455133012,Carmelite Prisoners Interest Organization,civic,Civic,B,unclaimed,Unclaimed area,unclaimed,36,6.462338,7.502342,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad22f7990-9a9c-43d5-8fd9-42853dc1efa1%5D%2FPOI_Picture1,,,
n_2455133013,Carolina Specialist Clinic,hospital,Hospital,B,trans_ekulu,Trans-Ekulu,unclaimed,24,6.4823121,7.4920407,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Abd111ecc-b207-4eac-8eda-f5fb859bc580%5D%2FPOI_Picture1,,,
n_2455133014,Central Bank Of Nigeria (CBN),bank,Bank,B,unclaimed,Unclaimed area,unclaimed,0,6.447598,7.491518,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A97c2d366-8768-4ad0-9bb8-3621988d9e25%5D%2FPOI_Picture1,,,
n_2455133015,Chinwendu Clinic & Maternity,hospital,Hospital,B,abakpa,Abakpa,playable_faction,20,6.479913,7.519431,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A421fa5cf-4102-4aab-a35f-5f6b0e5df234%5D%2FPOI_Picture1,,,
n_2455133018,Cintia Gardens,hotel,Hotel,B,trans_ekulu,Trans-Ekulu,unclaimed,36,6.477091,7.488871,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A8bb3a572-47b8-41f3-ac71-c152a778b3d2%5D%2FPOI_Picture1,,,
n_2455133019,Cocci International Secondary School,school,School,B,unclaimed,Unclaimed area,unclaimed,24,6.483071,7.51449,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A3da400c5-d2bc-478a-b502-530da24518bb%5D%2FPOI_Picture1,,,
n_2455133020,Collery guest house,hotel,Hotel,B,unclaimed,Unclaimed area,unclaimed,36,6.446103,7.489179,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A14e692b4-c7fe-4029-8adf-5b34144ff63a%5D%2FPOI_Picture1,,,
